date,weightclass,fighter,rank
9/1/2026,Bantamweight,Aiemann Zahabi,7
9/1/2026,Bantamweight,Aiemann Zahabi,13
9/1/2026,Bantamweight,Bryce Mitchell,14
9/1/2026,Bantamweight,Charles Jourdain,12
9/1/2026,Bantamweight,Cory Sandhagen,6
9/1/2026,Bantamweight,Cory Sandhagen,6
9/1/2026,Bantamweight,David Martinez,7
9/1/2026,Bantamweight,David Martinez,8
9/1/2026,Bantamweight,Deiveson Figueiredo,9
9/1/2026,Bantamweight,Deiveson Figueiredo,11
9/1/2026,Bantamweight,Farid Basharat,9
9/1/2026,Bantamweight,Farid Basharat,14
9/1/2026,Bantamweight,Marcus McGhee,10
9/1/2026,Bantamweight,Marcus McGhee,15
9/1/2026,Bantamweight,Mario Bautista,4
9/1/2026,Bantamweight,Mario Bautista,5
9/1/2026,Bantamweight,Marlon Vera,10
9/1/2026,Bantamweight,Merab Dvalishvili,1
9/1/2026,Bantamweight,Merab Dvalishvili,1
9/1/2026,Bantamweight,Montel Jackson,15
9/1/2026,Bantamweight,Payton Talbott,11
9/1/2026,Bantamweight,Petr Yan,0
9/1/2026,Bantamweight,Petr Yan,0
9/1/2026,Bantamweight,Raoni Barcelos,8
9/1/2026,Bantamweight,Raoni Barcelos,13
9/1/2026,Bantamweight,Raul Rosas Jr.,12
9/1/2026,Bantamweight,Sean O'Malley,2
9/1/2026,Bantamweight,Sean O'Malley,2
9/1/2026,Bantamweight,Song Yadong,3
9/1/2026,Bantamweight,Song Yadong,3
9/1/2026,Bantamweight,Umar Nurmagomedov,4
9/1/2026,Bantamweight,Umar Nurmagomedov,5
9/1/2026,Featherweight,Aaron Pico,12
9/1/2026,Featherweight,Aaron Pico,13
9/1/2026,Featherweight,Alexander Volkanovski,0
9/1/2026,Featherweight,Alexander Volkanovski,0
9/1/2026,Featherweight,Aljamain Sterling,4
9/1/2026,Featherweight,Aljamain Sterling,4
9/1/2026,Featherweight,Arnold Allen,5
9/1/2026,Featherweight,Arnold Allen,7
9/1/2026,Featherweight,Brian Ortega,11
9/1/2026,Featherweight,David Onama,14
9/1/2026,Featherweight,Diego Lopes,2
9/1/2026,Featherweight,Diego Lopes,2
9/1/2026,Featherweight,Jamall Emmers,14
9/1/2026,Featherweight,Jean Silva,6
9/1/2026,Featherweight,Jean Silva,6
9/1/2026,Featherweight,Jose Miguel Delgado,15
9/1/2026,Featherweight,Kevin Vallejos,9
9/1/2026,Featherweight,Kevin Vallejos,10
9/1/2026,Featherweight,Lerone Murphy,3
9/1/2026,Featherweight,Lerone Murphy,3
9/1/2026,Featherweight,Melquizael Costa,11
9/1/2026,Featherweight,Melquizael Costa,13
9/1/2026,Featherweight,Movsar Evloev,1
9/1/2026,Featherweight,Movsar Evloev,1
9/1/2026,Featherweight,Nathaniel Wood,8
9/1/2026,Featherweight,Pat Sabatini,7
9/1/2026,Featherweight,Patricio Pitbull,15
9/1/2026,Featherweight,Steve Garcia,10
9/1/2026,Featherweight,Steve Garcia,12
9/1/2026,Featherweight,Yair Rodriguez,5
9/1/2026,Featherweight,Youssef Zalal,8
9/1/2026,Featherweight,Youssef Zalal,9
9/1/2026,Flyweight,Alessandro Costa,15
9/1/2026,Flyweight,Alex Perez,15
9/1/2026,Flyweight,Alexandre Pantoja,1
9/1/2026,Flyweight,Alexandre Pantoja,1
9/1/2026,Flyweight,Amir Albazi,9
9/1/2026,Flyweight,Amir Albazi,9
9/1/2026,Flyweight,Asu Almabayev,5
9/1/2026,Flyweight,Asu Almabayev,7
9/1/2026,Flyweight,Brandon Moreno,8
9/1/2026,Flyweight,Brandon Moreno,10
9/1/2026,Flyweight,Brandon Royval,3
9/1/2026,Flyweight,Brandon Royval,3
9/1/2026,Flyweight,Charles Johnson,14
9/1/2026,Flyweight,Joshua Van,0
9/1/2026,Flyweight,Joshua Van,0
9/1/2026,Flyweight,Kyoji Horiguchi,5
9/1/2026,Flyweight,Kyoji Horiguchi,8
9/1/2026,Flyweight,Lone’er Kavanagh,6
9/1/2026,Flyweight,Lone’er Kavanagh,6
9/1/2026,Flyweight,Manel Kape,2
9/1/2026,Flyweight,Manel Kape,2
9/1/2026,Flyweight,Mitch Raposo,12
9/1/2026,Flyweight,Ramazan Temirov,7
9/1/2026,Flyweight,Ramazan Temirov,10
9/1/2026,Flyweight,Rei Tsuruya,13
9/1/2026,Flyweight,Steve Erceg,11
9/1/2026,Flyweight,Sumudaerji,11
9/1/2026,Flyweight,Sumudaerji,13
9/1/2026,Flyweight,Tagir Ulanbekov,14
9/1/2026,Flyweight,Tatsuro Taira,4
9/1/2026,Flyweight,Tatsuro Taira,4
9/1/2026,Flyweight,Tim Elliott,12
9/1/2026,Heavyweight,Aleksandar Rakić,13
9/1/2026,Heavyweight,Alex Pereira,4
9/1/2026,Heavyweight,Alexander Volkov,2
9/1/2026,Heavyweight,Alexander Volkov,2
9/1/2026,Heavyweight,Ante Delija,10
9/1/2026,Heavyweight,Brando Peričić,11
9/1/2026,Heavyweight,Ciryl Gane,1
9/1/2026,Heavyweight,Ciryl Gane,1
9/1/2026,Heavyweight,Curtis Blaydes,6
9/1/2026,Heavyweight,Curtis Blaydes,10
9/1/2026,Heavyweight,Derrick Lewis,12
9/1/2026,Heavyweight,Josh Hokit,4
9/1/2026,Heavyweight,Josh Hokit,6
9/1/2026,Heavyweight,Marcin Tybura,15
9/1/2026,Heavyweight,Mario Pinto,12
9/1/2026,Heavyweight,Mick Parkin,14
9/1/2026,Heavyweight,Rizvan Kuniev,5
9/1/2026,Heavyweight,Rizvan Kuniev,7
9/1/2026,Heavyweight,Ryan Spann,15
9/1/2026,Heavyweight,Sergei Pavlovich,3
9/1/2026,Heavyweight,Sergei Pavlovich,3
9/1/2026,Heavyweight,Serghei Spivac,9
9/1/2026,Heavyweight,Serghei Spivac,13
9/1/2026,Heavyweight,Tom Aspinall,0
9/1/2026,Heavyweight,Tom Aspinall,0
9/1/2026,Heavyweight,Tyrell Fortune,14
9/1/2026,Heavyweight,Valter Walker,9
9/1/2026,Heavyweight,Valter Walker,11
9/1/2026,Heavyweight,Vitor Petrino,8
9/1/2026,Heavyweight,Vitor Petrino,8
9/1/2026,Heavyweight,Waldo Cortes Acosta,5
9/1/2026,Heavyweight,Waldo Cortes Acosta,7
9/1/2026,Light Heavyweight,Alex Pereira,1
9/1/2026,Light Heavyweight,Alex Pereira,3
9/1/2026,Light Heavyweight,Alonzo Menifield,13
9/1/2026,Light Heavyweight,Alonzo Menifield,14
9/1/2026,Light Heavyweight,Azamat Murzakanov,8
9/1/2026,Light Heavyweight,Azamat Murzakanov,10
9/1/2026,Light Heavyweight,Bogdan Guskov,11
9/1/2026,Light Heavyweight,Bogdan Guskov,11
9/1/2026,Light Heavyweight,Carlos Ulberg,0
9/1/2026,Light Heavyweight,Carlos Ulberg,0
9/1/2026,Light Heavyweight,Dominick Reyes,8
9/1/2026,Light Heavyweight,Dominick Reyes,10
9/1/2026,Light Heavyweight,Jamahal Hill,5
9/1/2026,Light Heavyweight,Jamahal Hill,7
9/1/2026,Light Heavyweight,Jan Błachowicz,9
9/1/2026,Light Heavyweight,Jiří Procházka,2
9/1/2026,Light Heavyweight,Jiří Procházka,3
9/1/2026,Light Heavyweight,Johnny Walker,13
9/1/2026,Light Heavyweight,Johnny Walker,14
9/1/2026,Light Heavyweight,Khalil Rountree Jr.,4
9/1/2026,Light Heavyweight,Khalil Rountree Jr.,6
9/1/2026,Light Heavyweight,Magomed Ankalaev,1
9/1/2026,Light Heavyweight,Magomed Ankalaev,2
9/1/2026,Light Heavyweight,Muhammad Saidov,15
9/1/2026,Light Heavyweight,Navajo Stirling,5
9/1/2026,Light Heavyweight,Navajo Stirling,7
9/1/2026,Light Heavyweight,Nikita Krylov,15
9/1/2026,Light Heavyweight,Paulo Costa,4
9/1/2026,Light Heavyweight,Paulo Costa,6
9/1/2026,Light Heavyweight,Reinier de Ridder,9
9/1/2026,Light Heavyweight,Robert Whittaker,12
9/1/2026,Light Heavyweight,Robert Whittaker,12
9/1/2026,Lightweight,Arman Tsarukyan,2
9/1/2026,Lightweight,Arman Tsarukyan,2
9/1/2026,Lightweight,Beneil Dariush,14
9/1/2026,Lightweight,Benoît Saint Denis,6
9/1/2026,Lightweight,Benoît Saint Denis,8
9/1/2026,Lightweight,Charles Oliveira,3
9/1/2026,Lightweight,Charles Oliveira,3
9/1/2026,Lightweight,Dan Hooker,10
9/1/2026,Lightweight,Dan Hooker,12
9/1/2026,Lightweight,Grant Dawson,15
9/1/2026,Lightweight,Ilia Topuria,1
9/1/2026,Lightweight,Ilia Topuria,1
9/1/2026,Lightweight,Justin Gaethje,0
9/1/2026,Lightweight,Justin Gaethje,0
9/1/2026,Lightweight,Manuel Torres,15
9/1/2026,Lightweight,Mateusz Gamrot,9
9/1/2026,Lightweight,Mateusz Gamrot,9
9/1/2026,Lightweight,Mauricio Ruffy,7
9/1/2026,Lightweight,Mauricio Ruffy,10
9/1/2026,Lightweight,Max Holloway,4
9/1/2026,Lightweight,Max Holloway,4
9/1/2026,Lightweight,Paddy Pimblett,5
9/1/2026,Lightweight,Paddy Pimblett,5
9/1/2026,Lightweight,Quillan Salkilld,6
9/1/2026,Lightweight,Quillan Salkilld,8
9/1/2026,Lightweight,Rafael Fiziev,12
9/1/2026,Lightweight,Rafael Fiziev,13
9/1/2026,Lightweight,Renato Moicano,7
9/1/2026,Lightweight,Renato Moicano,11
9/1/2026,Lightweight,Tofiq Musayev,14
9/1/2026,Lightweight,Tom Nolan,11
9/1/2026,Lightweight,Tom Nolan,13
9/1/2026,Men's Pound-for-PoundTop Rank,Alex Pereira,9
9/1/2026,Men's Pound-for-PoundTop Rank,Alexander Volkanovski,2
9/1/2026,Men's Pound-for-PoundTop Rank,Alexandre Pantoja,13
9/1/2026,Men's Pound-for-PoundTop Rank,Arman Tsarukyan,14
9/1/2026,Men's Pound-for-PoundTop Rank,Charles Oliveira,15
9/1/2026,Men's Pound-for-PoundTop Rank,Ciryl Gane,10
9/1/2026,Men's Pound-for-PoundTop Rank,Ilia Topuria,5
9/1/2026,Men's Pound-for-PoundTop Rank,Islam Makhachev,0
9/1/2026,Men's Pound-for-PoundTop Rank,Islam Makhachev,1
9/1/2026,Men's Pound-for-PoundTop Rank,Joshua Van,10
9/1/2026,Men's Pound-for-PoundTop Rank,Justin Gaethje,4
9/1/2026,Men's Pound-for-PoundTop Rank,Khamzat Chimaev,12
9/1/2026,Men's Pound-for-PoundTop Rank,Merab Dvalishvili,8
9/1/2026,Men's Pound-for-PoundTop Rank,Petr Yan,3
9/1/2026,Men's Pound-for-PoundTop Rank,Sean Strickland,7
9/1/2026,Men's Pound-for-PoundTop Rank,Tom Aspinall,6
9/1/2026,Middleweight,Abus Magomedov,14
9/1/2026,Middleweight,Abus Magomedov,14
9/1/2026,Middleweight,Anthony Hernandez,8
9/1/2026,Middleweight,Anthony Hernandez,9
9/1/2026,Middleweight,Bo Nickal,13
9/1/2026,Middleweight,Bo Nickal,13
9/1/2026,Middleweight,Brendan Allen,4
9/1/2026,Middleweight,Brendan Allen,5
9/1/2026,Middleweight,Caio Borralho,5
9/1/2026,Middleweight,Caio Borralho,6
9/1/2026,Middleweight,Christian Leroy Duncan,10
9/1/2026,Middleweight,Christian Leroy Duncan,11
9/1/2026,Middleweight,Dricus Du Plessis,2
9/1/2026,Middleweight,Dricus Du Plessis,2
9/1/2026,Middleweight,Gregory Rodrigues,7
9/1/2026,Middleweight,Gregory Rodrigues,7
9/1/2026,Middleweight,Ikram Aliskerov,12
9/1/2026,Middleweight,Ikram Aliskerov,12
9/1/2026,Middleweight,Israel Adesanya,9
9/1/2026,Middleweight,Israel Adesanya,10
9/1/2026,Middleweight,Jared Cannonier,11
9/1/2026,Middleweight,Joe Pyfer,4
9/1/2026,Middleweight,Joe Pyfer,6
9/1/2026,Middleweight,Khamzat Chimaev,1
9/1/2026,Middleweight,Khamzat Chimaev,1
9/1/2026,Middleweight,Michael Venom Page,8
9/1/2026,Middleweight,Michael Venom Page,15
9/1/2026,Middleweight,Nassourdine Imavov,3
9/1/2026,Middleweight,Nassourdine Imavov,3
9/1/2026,Middleweight,Nursulton Ruziboev,15
9/1/2026,Middleweight,Sean Strickland,0
9/1/2026,Middleweight,Sean Strickland,0
9/1/2026,Welterweight,Belal Muhammad,7
9/1/2026,Welterweight,Belal Muhammad,7
9/1/2026,Welterweight,Carlos Prates,1
9/1/2026,Welterweight,Carlos Prates,2
9/1/2026,Welterweight,Daniel Rodriguez,14
9/1/2026,Welterweight,Daniel Rodriguez,15
9/1/2026,Welterweight,Gabriel Bonfim,5
9/1/2026,Welterweight,Gabriel Bonfim,6
9/1/2026,Welterweight,Ian Machado Garry,1
9/1/2026,Welterweight,Ian Machado Garry,2
9/1/2026,Welterweight,Islam Makhachev,0
9/1/2026,Welterweight,Islam Makhachev,0
9/1/2026,Welterweight,Jack Della Maddalena,4
9/1/2026,Welterweight,Jack Della Maddalena,4
9/1/2026,Welterweight,Joaquin Buckley,9
9/1/2026,Welterweight,Joaquin Buckley,10
9/1/2026,Welterweight,Kamaru Usman,9
9/1/2026,Welterweight,Kamaru Usman,11
9/1/2026,Welterweight,Kevin Holland,14
9/1/2026,Welterweight,Leon Edwards,8
9/1/2026,Welterweight,Leon Edwards,8
9/1/2026,Welterweight,Michael Morales,3
9/1/2026,Welterweight,Michael Morales,3
9/1/2026,Welterweight,Mike Malott,12
9/1/2026,Welterweight,Mike Malott,13
9/1/2026,Welterweight,Neil Magny,15
9/1/2026,Welterweight,Sean Brady,5
9/1/2026,Welterweight,Sean Brady,6
9/1/2026,Welterweight,Uroš Medić,10
9/1/2026,Welterweight,Uroš Medić,12
9/1/2026,Welterweight,Yaroslav Amosov,11
9/1/2026,Welterweight,Yaroslav Amosov,13
9/1/2026,Women's Bantamweight,Ailin Perez,4
9/1/2026,Women's Bantamweight,Ailin Perez,5
9/1/2026,Women's Bantamweight,Bia Mesquita,11
9/1/2026,Women's Bantamweight,Bia Mesquita,11
9/1/2026,Women's Bantamweight,Daria Zhelezniakova,13
9/1/2026,Women's Bantamweight,Jacqueline Cavalcanti,7
9/1/2026,Women's Bantamweight,Jacqueline Cavalcanti,9
9/1/2026,Women's Bantamweight,Joselyne Edwards,1
9/1/2026,Women's Bantamweight,Joselyne Edwards,3
9/1/2026,Women's Bantamweight,Julianna Peña,1
9/1/2026,Women's Bantamweight,Julianna Peña,5
9/1/2026,Women's Bantamweight,Karol Rosa,10
9/1/2026,Women's Bantamweight,Karol Rosa,10
9/1/2026,Women's Bantamweight,Kayla Harrison,0
9/1/2026,Women's Bantamweight,Kayla Harrison,0
9/1/2026,Women's Bantamweight,Klaudia Sygula,15
9/1/2026,Women's Bantamweight,Luana Santos,3
9/1/2026,Women's Bantamweight,Luana Santos,7
9/1/2026,Women's Bantamweight,Macy Chiasson,8
9/1/2026,Women's Bantamweight,Macy Chiasson,12
9/1/2026,Women's Bantamweight,Melissa Croden,9
9/1/2026,Women's Bantamweight,Melissa Croden,15
9/1/2026,Women's Bantamweight,Michelle Montague,8
9/1/2026,Women's Bantamweight,Michelle Montague,12
9/1/2026,Women's Bantamweight,Miesha Tate,14
9/1/2026,Women's Bantamweight,Nora Cornolle,13
9/1/2026,Women's Bantamweight,Norma Dumont,2
9/1/2026,Women's Bantamweight,Norma Dumont,4
9/1/2026,Women's Bantamweight,Raquel Pennington,2
9/1/2026,Women's Bantamweight,Raquel Pennington,14
9/1/2026,Women's Bantamweight,Yana Santos,6
9/1/2026,Women's Bantamweight,Yana Santos,6
9/1/2026,Women's Flyweight,Alexa Grasso,3
9/1/2026,Women's Flyweight,Alexa Grasso,3
9/1/2026,Women's Flyweight,Carli Judice,15
9/1/2026,Women's Flyweight,Casey O'Neill,12
9/1/2026,Women's Flyweight,Eduarda Moura,13
9/1/2026,Women's Flyweight,Eduarda Moura,14
9/1/2026,Women's Flyweight,Erin Blanchfield,4
9/1/2026,Women's Flyweight,Erin Blanchfield,4
9/1/2026,Women's Flyweight,Gabriella Fernandes,14
9/1/2026,Women's Flyweight,JJ Aldrich,12
9/1/2026,Women's Flyweight,JJ Aldrich,15
9/1/2026,Women's Flyweight,Jasmine Jasudavicius,7
9/1/2026,Women's Flyweight,Jasmine Jasudavicius,7
9/1/2026,Women's Flyweight,Karine Silva,11
9/1/2026,Women's Flyweight,Karine Silva,13
9/1/2026,Women's Flyweight,Manon Fiorot,2
9/1/2026,Women's Flyweight,Manon Fiorot,2
9/1/2026,Women's Flyweight,Maycee Barber,6
9/1/2026,Women's Flyweight,Maycee Barber,9
9/1/2026,Women's Flyweight,Miranda Maverick,10
9/1/2026,Women's Flyweight,Miranda Maverick,11
9/1/2026,Women's Flyweight,Natalia Silva,1
9/1/2026,Women's Flyweight,Natalia Silva,1
9/1/2026,Women's Flyweight,Rose Namajunas,5
9/1/2026,Women's Flyweight,Rose Namajunas,8
9/1/2026,Women's Flyweight,Tracy Cortez,9
9/1/2026,Women's Flyweight,Tracy Cortez,10
9/1/2026,Women's Flyweight,Valentina Shevchenko,0
9/1/2026,Women's Flyweight,Valentina Shevchenko,0
9/1/2026,Women's Flyweight,Wang Cong,6
9/1/2026,Women's Flyweight,Wang Cong,8
9/1/2026,Women's Flyweight,Zhang Weili,5
9/1/2026,Women's Pound-for-PoundTop Rank,Alexa Grasso,7
9/1/2026,Women's Pound-for-PoundTop Rank,Erin Blanchfield,8
9/1/2026,Women's Pound-for-PoundTop Rank,Julianna Peña,10
9/1/2026,Women's Pound-for-PoundTop Rank,Kayla Harrison,2
9/1/2026,Women's Pound-for-PoundTop Rank,Mackenzie Dern,5
9/1/2026,Women's Pound-for-PoundTop Rank,Manon Fiorot,6
9/1/2026,Women's Pound-for-PoundTop Rank,Maycee Barber,15
9/1/2026,Women's Pound-for-PoundTop Rank,Natalia Silva,4
9/1/2026,Women's Pound-for-PoundTop Rank,Raquel Pennington,13
9/1/2026,Women's Pound-for-PoundTop Rank,Rose Namajunas,12
9/1/2026,Women's Pound-for-PoundTop Rank,Tatiana Suarez,9
9/1/2026,Women's Pound-for-PoundTop Rank,Valentina Shevchenko,0
9/1/2026,Women's Pound-for-PoundTop Rank,Valentina Shevchenko,1
9/1/2026,Women's Pound-for-PoundTop Rank,Virna Jandiroba,11
9/1/2026,Women's Pound-for-PoundTop Rank,Yan Xiaonan,14
9/1/2026,Women's Pound-for-PoundTop Rank,Zhang Weili,3
9/1/2026,Women's Strawweight,Alexia Thainara,7
9/1/2026,Women's Strawweight,Alexia Thainara,9
9/1/2026,Women's Strawweight,Amanda Lemos,12
9/1/2026,Women's Strawweight,Amanda Lemos,15
9/1/2026,Women's Strawweight,Amanda Ribas,13
9/1/2026,Women's Strawweight,Angela Hill,14
9/1/2026,Women's Strawweight,Denise Gomes,4
9/1/2026,Women's Strawweight,Denise Gomes,7
9/1/2026,Women's Strawweight,Fatima Kline,6
9/1/2026,Women's Strawweight,Fatima Kline,6
9/1/2026,Women's Strawweight,Gillian Robertson,4
9/1/2026,Women's Strawweight,Gillian Robertson,5
9/1/2026,Women's Strawweight,Jaqueline Amorim,13
9/1/2026,Women's Strawweight,Jéssica Andrade,10
9/1/2026,Women's Strawweight,Loopy Godinez,8
9/1/2026,Women's Strawweight,Loopy Godinez,11
9/1/2026,Women's Strawweight,Mackenzie Dern,0
9/1/2026,Women's Strawweight,Mackenzie Dern,0
9/1/2026,Women's Strawweight,Mizuki,10
9/1/2026,Women's Strawweight,Mizuki,15
9/1/2026,Women's Strawweight,Piera Rodriguez,8
9/1/2026,Women's Strawweight,Tabatha Ricci,11
9/1/2026,Women's Strawweight,Tabatha Ricci,12
9/1/2026,Women's Strawweight,Talita Alencar,14
9/1/2026,Women's Strawweight,Tatiana Suarez,2
9/1/2026,Women's Strawweight,Tatiana Suarez,3
9/1/2026,Women's Strawweight,Virna Jandiroba,2
9/1/2026,Women's Strawweight,Virna Jandiroba,3
9/1/2026,Women's Strawweight,Yan Xiaonan,5
9/1/2026,Women's Strawweight,Yan Xiaonan,9
9/1/2026,Women's Strawweight,Zhang Weili,1
9/1/2026,Women's Strawweight,Zhang Weili,1
8/31/2026,Bantamweight,Aiemann Zahabi,7
8/31/2026,Bantamweight,Aiemann Zahabi,13
8/31/2026,Bantamweight,Bryce Mitchell,14
8/31/2026,Bantamweight,Charles Jourdain,12
8/31/2026,Bantamweight,Cory Sandhagen,5
8/31/2026,Bantamweight,Cory Sandhagen,6
8/31/2026,Bantamweight,David Martinez,7
8/31/2026,Bantamweight,David Martinez,8
8/31/2026,Bantamweight,Deiveson Figueiredo,9
8/31/2026,Bantamweight,Deiveson Figueiredo,11
8/31/2026,Bantamweight,Farid Basharat,9
8/31/2026,Bantamweight,Farid Basharat,14
8/31/2026,Bantamweight,Marcus McGhee,10
8/31/2026,Bantamweight,Marcus McGhee,15
8/31/2026,Bantamweight,Mario Bautista,4
8/31/2026,Bantamweight,Mario Bautista,4
8/31/2026,Bantamweight,Marlon Vera,10
8/31/2026,Bantamweight,Merab Dvalishvili,1
8/31/2026,Bantamweight,Merab Dvalishvili,1
8/31/2026,Bantamweight,Montel Jackson,15
8/31/2026,Bantamweight,Payton Talbott,11
8/31/2026,Bantamweight,Petr Yan,0
8/31/2026,Bantamweight,Petr Yan,0
8/31/2026,Bantamweight,Raoni Barcelos,8
8/31/2026,Bantamweight,Raoni Barcelos,13
8/31/2026,Bantamweight,Raul Rosas Jr.,12
8/31/2026,Bantamweight,Sean O'Malley,2
8/31/2026,Bantamweight,Sean O'Malley,2
8/31/2026,Bantamweight,Song Yadong,3
8/31/2026,Bantamweight,Song Yadong,6
8/31/2026,Bantamweight,Umar Nurmagomedov,3
8/31/2026,Bantamweight,Umar Nurmagomedov,5
8/31/2026,Featherweight,Aaron Pico,12
8/31/2026,Featherweight,Aaron Pico,13
8/31/2026,Featherweight,Alexander Volkanovski,0
8/31/2026,Featherweight,Alexander Volkanovski,0
8/31/2026,Featherweight,Aljamain Sterling,4
8/31/2026,Featherweight,Aljamain Sterling,4
8/31/2026,Featherweight,Arnold Allen,5
8/31/2026,Featherweight,Arnold Allen,7
8/31/2026,Featherweight,Brian Ortega,11
8/31/2026,Featherweight,David Onama,14
8/31/2026,Featherweight,Diego Lopes,2
8/31/2026,Featherweight,Diego Lopes,2
8/31/2026,Featherweight,Jamall Emmers,14
8/31/2026,Featherweight,Jean Silva,6
8/31/2026,Featherweight,Jean Silva,6
8/31/2026,Featherweight,Jose Miguel Delgado,15
8/31/2026,Featherweight,Kevin Vallejos,9
8/31/2026,Featherweight,Kevin Vallejos,10
8/31/2026,Featherweight,Lerone Murphy,3
8/31/2026,Featherweight,Lerone Murphy,3
8/31/2026,Featherweight,Melquizael Costa,11
8/31/2026,Featherweight,Melquizael Costa,13
8/31/2026,Featherweight,Movsar Evloev,1
8/31/2026,Featherweight,Movsar Evloev,1
8/31/2026,Featherweight,Nathaniel Wood,8
8/31/2026,Featherweight,Pat Sabatini,7
8/31/2026,Featherweight,Patricio Pitbull,15
8/31/2026,Featherweight,Steve Garcia,10
8/31/2026,Featherweight,Steve Garcia,12
8/31/2026,Featherweight,Yair Rodriguez,5
8/31/2026,Featherweight,Youssef Zalal,8
8/31/2026,Featherweight,Youssef Zalal,9
8/31/2026,Flyweight,Alessandro Costa,15
8/31/2026,Flyweight,Alex Perez,11
8/31/2026,Flyweight,Alexandre Pantoja,1
8/31/2026,Flyweight,Alexandre Pantoja,1
8/31/2026,Flyweight,Amir Albazi,9
8/31/2026,Flyweight,Amir Albazi,9
8/31/2026,Flyweight,Asu Almabayev,5
8/31/2026,Flyweight,Asu Almabayev,7
8/31/2026,Flyweight,Brandon Moreno,8
8/31/2026,Flyweight,Brandon Moreno,10
8/31/2026,Flyweight,Brandon Royval,3
8/31/2026,Flyweight,Brandon Royval,3
8/31/2026,Flyweight,Charles Johnson,14
8/31/2026,Flyweight,Charles Johnson,15
8/31/2026,Flyweight,Joshua Van,0
8/31/2026,Flyweight,Joshua Van,0
8/31/2026,Flyweight,Kyoji Horiguchi,5
8/31/2026,Flyweight,Kyoji Horiguchi,8
8/31/2026,Flyweight,Lone’er Kavanagh,6
8/31/2026,Flyweight,Lone’er Kavanagh,6
8/31/2026,Flyweight,Manel Kape,2
8/31/2026,Flyweight,Manel Kape,2
8/31/2026,Flyweight,Mitch Raposo,12
8/31/2026,Flyweight,Ramazan Temirov,7
8/31/2026,Flyweight,Ramazan Temirov,10
8/31/2026,Flyweight,Rei Tsuruya,13
8/31/2026,Flyweight,Steve Erceg,12
8/31/2026,Flyweight,Sumudaerji,11
8/31/2026,Flyweight,Tagir Ulanbekov,14
8/31/2026,Flyweight,Tatsuro Taira,4
8/31/2026,Flyweight,Tatsuro Taira,4
8/31/2026,Flyweight,Tim Elliott,13
8/31/2026,Heavyweight,Aleksandar Rakić,13
8/31/2026,Heavyweight,Alex Pereira,4
8/31/2026,Heavyweight,Alexander Volkov,2
8/31/2026,Heavyweight,Alexander Volkov,2
8/31/2026,Heavyweight,Ante Delija,10
8/31/2026,Heavyweight,Brando Peričić,11
8/31/2026,Heavyweight,Ciryl Gane,1
8/31/2026,Heavyweight,Ciryl Gane,1
8/31/2026,Heavyweight,Curtis Blaydes,6
8/31/2026,Heavyweight,Curtis Blaydes,10
8/31/2026,Heavyweight,Derrick Lewis,12
8/31/2026,Heavyweight,Josh Hokit,4
8/31/2026,Heavyweight,Josh Hokit,6
8/31/2026,Heavyweight,Marcin Tybura,15
8/31/2026,Heavyweight,Mario Pinto,12
8/31/2026,Heavyweight,Mick Parkin,14
8/31/2026,Heavyweight,Rizvan Kuniev,5
8/31/2026,Heavyweight,Rizvan Kuniev,7
8/31/2026,Heavyweight,Ryan Spann,15
8/31/2026,Heavyweight,Sergei Pavlovich,3
8/31/2026,Heavyweight,Sergei Pavlovich,3
8/31/2026,Heavyweight,Serghei Spivac,9
8/31/2026,Heavyweight,Serghei Spivac,13
8/31/2026,Heavyweight,Tom Aspinall,0
8/31/2026,Heavyweight,Tom Aspinall,0
8/31/2026,Heavyweight,Tyrell Fortune,14
8/31/2026,Heavyweight,Valter Walker,9
8/31/2026,Heavyweight,Valter Walker,11
8/31/2026,Heavyweight,Vitor Petrino,8
8/31/2026,Heavyweight,Vitor Petrino,8
8/31/2026,Heavyweight,Waldo Cortes Acosta,5
8/31/2026,Heavyweight,Waldo Cortes Acosta,7
8/31/2026,Light Heavyweight,Alex Pereira,1
8/31/2026,Light Heavyweight,Alex Pereira,3
8/31/2026,Light Heavyweight,Alonzo Menifield,13
8/31/2026,Light Heavyweight,Alonzo Menifield,14
8/31/2026,Light Heavyweight,Azamat Murzakanov,8
8/31/2026,Light Heavyweight,Azamat Murzakanov,10
8/31/2026,Light Heavyweight,Bogdan Guskov,11
8/31/2026,Light Heavyweight,Bogdan Guskov,11
8/31/2026,Light Heavyweight,Carlos Ulberg,0
8/31/2026,Light Heavyweight,Carlos Ulberg,0
8/31/2026,Light Heavyweight,Dominick Reyes,8
8/31/2026,Light Heavyweight,Dominick Reyes,10
8/31/2026,Light Heavyweight,Jamahal Hill,5
8/31/2026,Light Heavyweight,Jamahal Hill,7
8/31/2026,Light Heavyweight,Jan Błachowicz,9
8/31/2026,Light Heavyweight,Jiří Procházka,2
8/31/2026,Light Heavyweight,Jiří Procházka,3
8/31/2026,Light Heavyweight,Johnny Walker,13
8/31/2026,Light Heavyweight,Johnny Walker,14
8/31/2026,Light Heavyweight,Khalil Rountree Jr.,4
8/31/2026,Light Heavyweight,Khalil Rountree Jr.,6
8/31/2026,Light Heavyweight,Magomed Ankalaev,1
8/31/2026,Light Heavyweight,Magomed Ankalaev,2
8/31/2026,Light Heavyweight,Muhammad Saidov,15
